,com
1114,35297
1115,28183
1116,14528
1117,93005
1118,50484
1119,42184
1120,40287
1121,13042
1122,77018
1123,14047
1124,15074
1125,57143
1126,18087
1127,69029
1128,72077
1129,29302
1130,4242
1131,56041
1132,97606
1133,74042
1134,30083
1135,2464
1136,80606
1137,3098
1138,17380
1139,98714
1140,93079
1141,21272
1142,78140
1143,94042
1144,55504
1145,85295
1146,59650
1147,28085
1148,56008
1149,42097
1150,86115
1151,28158
1152,83032
1153,67252
1154,14191
1155,14557
1156,13204
1157,65226
1158,40273
1159,66210
1160,6149
1161,69055
1162,44055
1163,63358
1164,91111
1165,61397
1166,37270
1167,76414
1168,74289
1169,77354
1170,35013
1171,54250
1172,17300
1173,43117
1174,2165
1175,33138
1176,28134
1177,59183
1178,44069
1179,80766
1180,1027
1181,42011
1182,7005
1183,85151
1184,17449
1185,59279
1186,38198
1187,33483
1188,59178
1189,33540
1190,12100
1191,63116
1192,94058
1193,8105
1194,33522
1195,83068
1196,67534
1197,57516
1198,1436
1199,51618
1200,29181
1201,45008
1202,52354
1203,59379
1204,49228
1205,50003
1206,98826
1207,60176
1208,29171
1209,59220
1210,36070
1211,30134
1212,83129
1213,34163
1214,18231
1215,45004
1216,94059
1217,68140
1218,97309
1219,93050
1220,34101
1221,92019
1222,33080
1223,38298
1224,45120
1225,42128
1226,38463
1227,91579
1228,84132
1229,76718
1230,40312
1231,97109
1232,55122
1233,49355
1234,69209
1235,13015
1236,91434
1237,13040
1238,34022
1239,34108
1240,9324
1241,89478
1242,44184
1243,97103
1244,80422
1245,19276
1246,58086
1247,57430
1248,78551
1249,60111
1250,202037
1251,81220
1252,74152
1253,62166
1254,77372
1255,37208
1256,33243
1257,23202
1258,80807
1259,83100
1260,12200
1261,29247
1262,9269
1263,77370
1264,54260
1265,27075
1266,22090
1267,7136
1268,69385
1269,2422
1270,92060
1271,201041
1272,31291
1273,77514
1274,69271
1275,39437
1276,45072
1277,89257
1278,95059
1279,26052
1280,51199
1281,81070
1282,43041
1283,47301
1284,18081
1285,7102
1286,59328
1287,33334
1288,50173
1289,72003
1290,59606
1291,7281
1292,82038
1293,34194
1294,10343
1295,91136
1296,55490
1297,54482
1298,89024
1299,35115
1300,41223
1301,9124
1302,40001
1303,78007
1304,9065
1305,38239
1306,67066
1307,11360
1308,16140
1309,81128
1310,76715
1311,81257
1312,56081
1313,8237
1314,34157
1315,83070
1316,59386
1317,7080
1318,80031
1319,42308
1320,95351
1321,1175
1322,39150
1323,77001
1324,3189
1325,43152
1326,25002
1327,97414
1328,59512
1329,95018
1330,85242
1331,84028
1332,76429
1333,30039
1334,1344
1335,18073
1336,53125
1337,93055
1338,35136
1339,8097
1340,202073
1341,51508
1342,45179
1343,73304
1344,37178
1345,59261
1346,79270
1347,26252
1348,77258
1349,201249
1350,56004
1351,33539
1352,77433
1353,85003
1354,44205
1355,94071
1356,71559
1357,89282
1358,4135
1359,14699
1360,74206
1361,19151
1362,76684
1363,62030
1364,84054
1365,2738
1366,71310
1367,62318
1368,94019
1369,3254
1370,88037
1371,93063
1372,51147
1373,46137
1374,34084
1375,91235
1376,98830
1377,46165
1378,61419
1379,202042
1380,94038
1381,17240
1382,60599
1383,70459
1384,78126
1385,76624
1386,74133
1387,45147
1388,38211
1389,85155
1390,45284
1391,78402
1392,24008
1393,8125
1394,30090
1395,21352
1396,85129
1397,77439
1398,97122
1399,38518
1400,47043
1401,3185
1402,43163
1403,92072
1404,43268
1405,38316
1406,29037
1407,79062
1408,14299
1409,54431
1410,22106
1411,6023
1412,37082
1413,41207
1414,55029
1415,60189
1416,7255
1417,13108
1418,35289
1419,45193
1420,29124
1421,25204
1422,57300
1423,67028
1424,61278
1425,93039
1426,60069
1427,68229
1428,98747
1429,97311
1430,25524
1431,24269
1432,57365
1433,6104
1434,27260
1435,85093
1436,83115
1437,38344
1438,59146
1439,55472
1440,14654
1441,76021
1442,28088
1443,91228
1444,50165
1445,1451
1446,95488
1447,42304
1448,47146
1449,33268
1450,38336
1451,59269
1452,71351
1453,42253
1454,34217
1455,31163
1456,1264
1457,98733
1458,201272
1459,66190
1460,51326
1461,83047
1462,78322
1463,39241
1464,48016
1465,84111
1466,92071
1467,1305
1468,50486
1469,65123
1470,64141
1471,28001
1472,62033
1473,77152
1474,60175
1475,84147
1476,98716
1477,78043
1478,11426
1479,21038
1480,29191
1481,91477
1482,13207
1483,64256
1484,78297
1485,29197
1486,19174
1487,50602
1488,72006
1489,31585
1490,34119
1491,62473
1492,78003
1493,29216
1494,60524
1495,38284
1496,83131
1497,30007
1498,93033
1499,68112
1500,33049
1501,5166
1502,76243
1503,72370
1504,68278
1505,60628
1506,58059
1507,68287
1508,94067
1509,83018
1510,59299
1511,77219
1512,59421
1513,84092
1514,95365
1515,14062
1516,92076
1517,13063
1518,79049
1519,89206
1520,78133
1521,29233
1522,60030
1523,26362
1524,26281
1525,3310
1526,14027
1527,98736
1528,69273
1529,42005
1530,35281
1531,4006
1532,84056
1533,57574
1534,67046
1535,13044
1536,10116
1537,98821
1538,46312
1539,59349
1540,22155
1541,74087
1542,97124
1543,38167
1544,77294
1545,72292
1546,92023
1547,18050
1548,95489
1549,38451
1550,50295
1551,59518
1552,93072
1553,71571
1554,61341
1555,94056
1556,42110
1557,77332
1558,31175
1559,63103
1560,2810
1561,21565
1562,87046
1563,49023
1564,70210
1565,22174
1566,61218
1567,52062
1568,38190
1569,32027
1570,73176
1571,95675
1572,51663
1573,21263
1574,89104
1575,33554
1576,84007
1577,44126
1578,98822
1579,74220
1580,62042
1581,78638
1582,95252
1583,27656
1584,2186
1585,61179
1586,33474
1587,56222
1588,35206
1589,1043
1590,55267
1591,97132
1592,4019
1593,51355
1594,44009
1595,56046
1596,22264
1597,48119
1598,34320
1599,71490
1600,95014
1601,84087
1602,60589
1603,31116
1604,31255
1605,68249
1606,6066
1607,83030
1608,79178
1609,69028
1610,27188
1611,52093
1612,88409
1613,34198
1614,45093
1615,6004
1616,33348
1617,26330
1618,63014
1619,64353
1620,19101
1621,63236
1622,57540
1623,61070
1624,79086
1625,51027
1626,68176
1627,60395
1628,17459
1629,54328
1630,6044
1631,53062
1632,59391
1633,202050
1634,72334
1635,61486
1636,34143
1637,45175
1638,91659
1639,63019
1640,36162
1641,76475
1642,91421
1643,38544
1644,42210
1645,54342
1646,30223
1647,74263
1648,3033
1649,3275
1650,61464
1651,34295
1652,50562
1653,17389
1654,34289
1655,4033
1656,69159
1657,2742
1658,3212
1659,62193
1660,14572
1661,202353
1662,58094
1663,38074
1664,87135
1665,2360
1666,59223
1667,29254
1668,67118
1669,50218
1670,74167
1671,31517
1672,33065
1673,27677
1674,31202
1675,30339
1676,63438
1677,76709
1678,10438
1679,69282
1680,70205
1681,39202
1682,93077
1683,24571
1684,98832
1685,27388
1686,78362
1687,15012
1688,53009
1689,61145
1690,68294
1691,27137
1692,24240
1693,27375
1694,60341
1695,2676
1696,60002
1697,77040
1698,42299
1699,79163
1700,14270
1701,97402
1702,33282
1703,95313
1704,22182
1705,59011
1706,54286
1707,5052
1708,31412
1709,97121
1710,47168
1711,19070
1712,35210
1713,64189
1714,76397
1715,62215
1716,95288
1717,37072
1718,61491
1719,88349
1720,55237
1721,52365
1722,95500
1723,91226
1724,1045
1725,98735
1726,7019
1727,6048
1728,38001
1729,62037
1730,63093
1731,91570
1732,91312
1733,38082
1734,78118
1735,29183
1736,77407
1737,25372
1738,38450
1739,42168
1740,97105
1741,83101
1742,63203
1743,74071
1744,68141
1745,91021
1746,5089
1747,30351
1748,26235
1749,7096
1750,73298
1751,29246
1752,84116
1753,76157
1754,56239
1755,3217
1756,10427
1757,54434
1758,38160
1759,62869
1760,63048
1761,80725
1762,68292
1763,95116
1764,77483
1765,62528
1766,27072
1767,59234
1768,38036
1769,68315
1770,32187
1771,202283
1772,74067
1773,95580
1774,1390
1775,59343
1776,60288
1777,95680
1778,46121
1779,52208
1780,56107
1781,38051
1782,37159
1783,30258
1784,32181
1785,97313
1786,51367
1787,97612
1788,17211
1789,60335
1790,38193
1791,95056
1792,26088
1793,22103
1794,78208
1795,91086
1796,2498
1797,74127
1798,92046
1799,59372
1800,62427
1801,28195
1802,54549
1803,64380
1804,31206
1805,13039
1806,30326
1807,68247
1808,54351
1809,59094
1810,63032
1811,63317
1812,88467
1813,80320
1814,77449
1815,81117
1816,24159
1817,5161
1818,17161
1819,24133
1820,29031
1821,39441
1822,69141
1823,38543
1824,38448
1825,19043
1826,69069
1827,62221
1828,59184
1829,72369
1830,30333
1831,88483
1832,83116
1833,95594
1834,54197
1835,58115
1836,34134
1837,54426
1838,65173
1839,31044
1840,3274
1841,80117
1842,64532
1843,67122
1844,50041
1845,59017
1846,13076
1847,47201
1848,10296
1849,44129
1850,60222
1851,1166
1852,26337
1853,84020
1854,72209
1855,77243
1856,24207
1857,31106
1858,4166
1859,85101
1860,32231
1861,33494
1862,56165
1863,27114
1864,31395
1865,45338
1866,26324
1867,73008
1868,46145
1869,54578
1870,59195
1871,62233
1872,54115
1873,77238
1874,6152
1875,21397
1876,59581
1877,77169
1878,35040
1879,64519
1880,69140
1881,15154
1882,40178
1883,60106
1884,4096
1885,59462
1886,83062
1887,59063
1888,22162
1889,33448
1890,61117
1891,61422
1892,37133
1893,12039
1894,94077
1895,51230
1896,83035
1897,57221
1898,87048
1899,19125
1900,83036
1901,8003
1902,58131
1903,1245
1904,38389
1905,38449
1906,63311
1907,27464
1908,21238
1909,41256
1910,72272
1911,76192
1912,14203
1913,24479
1914,28398
1915,71153
1916,97412
1917,45340
1918,14488
1919,80410
1920,24249
1921,54274
1922,2048
1923,29266
1924,42323
1925,61133
1926,22193
1927,27134
1928,13054
1929,38057
1930,69287
1931,38110
1932,41043
1933,16064
1934,201032
1935,8281
1936,82006
1937,3216
1938,76484
1939,33449
1940,77468
1941,12145
1942,97303
1943,97203
1944,74155
1945,31317
1946,76146
1947,91657
1948,64125
1949,7324
1950,19079
1951,35250
1952,33414
1953,30308
1954,59232
1955,83004
1956,51019
1957,62510
1958,34293
1959,60454
1960,83057
1961,201215
1962,32290
1963,18200
1964,38197
1965,14689
1966,38401
1967,45315
1968,49323
1969,31442
1970,42071
1971,33009
1972,87106
1973,29208
1974,88188
1975,92077
1976,33267
1977,80628
1978,8037
1979,3085
1980,73021
1981,89195
1982,29003
1983,57210
1984,10357
1985,74298
1986,48042
1987,71248
1988,71070
1989,22118
1990,80240
1991,62571
1992,73255
1993,98813
1994,18245
1995,60321
1996,27133
1997,88044
1998,77059
1999,59033
2000,55457
2001,86163
2002,70550
2003,10323
2004,31066
2005,42021
2006,44169
2007,80016
2008,80343
2009,97129
2010,61467
2011,51386
2012,87158
2013,77305
2014,51506
2015,17218
2016,35191
2017,56185
2018,13029
2019,60405
2020,83052
2021,67067
2022,31582
2023,29228
2024,18273
2025,52193
2026,14162
2027,89254
2028,13096
2029,92048
2030,98613
2031,79077
2032,68005
2033,71353
2034,52371
2035,91326
2036,21525
2037,86197
2038,17347
2039,32106
2040,30003
2041,9264
2042,94015
2043,30006
2044,41095
2045,44190
2046,81065
2047,83130
2048,60239
2049,11178
2050,59623
2051,26008
2052,16071
2053,37154
2054,62806
2055,60119
2056,54322
2057,31091
2058,54159
2059,70405
2060,67115
2061,43224
2062,47054
2063,33294
2064,16414
2065,14752
2066,25388
2067,68298
2068,68334
2069,45281
2070,97610
